id,video_id,text,label,raw_response,matched_keywords,label_prior,model
UgzMe2jYe_gic1XgcD94AaABAg,8W94yWJHw6A,"КОТОК БАШ КОРУПЦИОНЕР ,САУНА, КАЗИНО ИШТЕТИП БАЙЫГАН ДЕПУТАТ БОЛУП ОЛТУРГАНДАР БАР. КЫРГЫЗСТАН ОНУКПОЙТ. БААРДЫГЫ ПОЧТИ КОРУПЦИОНЕР",hate,hate,коток,potentially_hate,CohereForAI/aya-expanse-8b
UgwskEIs9GAFUeSojm94AaABAg,HeGfRTka3TQ,"Биз алсызбыз деп эле жатып алышыптыр кудай берди деп эле.кыз кыздай болуп жабык кийинип коздон далдоо журсо эч Ким деле конул бурбайт, озунор ачык-чачык,жарым-жыланач журосунор коз-коз болуп делебе козгоп, анан зордоду-кордоду дейсинер уялбай, силер кыздарды эмес батыштын уяты жок саясатын коргоп жатасынар.",hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwPx9lHYmu8s6duWNd4AaABAg,HeGfRTka3TQ,Кыскасы ана мына деп отуруп каршы пикирлер менен калабердинер карочи бир созду айткым келди кураандагы хадистердин биринде жазылган аял заты ауратын горсотуп ачык чачык жургон коомдо еркектин пикири бузулуп знаа кобоёт деген азыр кыздар боёнуп жамбашын томпойтуп емчегин да самапал томпойтуп проститутка болуп калды анан кайдагы ыдык корсотконду суйлойсунор даже чоон еле ежелер чачын сары кызыл кылып боёп чампайган готуно шым кийип журсо анан кыздарынар албетте без труса журотда биринчи озунорду ондогула анан кыздарынар онолот анан синдинер онолот егер онолбойсунарбы анда бул маселени маралдык намыстык укугунар жок,hate,hate,амбаш,potentially_hate,CohereForAI/aya-expanse-8b
UgwP0ONRLKuNOsi3g5x4AaABAg,KSVY5SRkfn8,Колбаев! Тируу болгондо Ташиевди баш кылып туруп баардыгын башын жулмак! Аны бекеринен олтурушкон жок да!!!,hate,hate,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgwB_2jG9SOmqKzLg0l4AaABAg,va4UkKaVJ8k,Эдил байсалов колдойт буларды,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxT73jLFwvviOP7ujd4AaABAg,va4UkKaVJ8k,"Ебать пакеты ""мини"" 😂 Это уже постанова какая то Купите для след съемки зип пакеты поменьше",offensive,offensive,ебать,potentially_hate,CohereForAI/aya-expanse-8b
UgwIyGqg6mLeB8-ZeUt4AaABAg,va4UkKaVJ8k,Молодцы ЛГБТ коом деген нерсени туп тамыры менен жок кылгыла...,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugy5ev5HoRDWf3m_vkF4AaABAg,MzmJyHQlS5Y,Бийликтегилердин баары Матрайлар менен байланышы бар бизди мамлекеттик уурулар башкарып жатышат бир соо адам жок,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyJQGmRuvzkUk2iwxh4AaABAg,8W94yWJHw6A,"Бири бирне чабыштырып отуруп Кыргызстанды жеп жутасынар го акмактар,,батыштын акчасына тойбодунар го кээ бир журналисттер",hate,hate,акмак,potentially_hate,CohereForAI/aya-expanse-8b
Ugw_YwOqlgcHa1r_zhB4AaABAg,MzmJyHQlS5Y,"Соке президенттике келбей эле койсон болмок, эн томонку денгээлдеги президент болуп тарыхта калды",offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugwc0ATQbAHN8GhAYGV4AaABAg,8W94yWJHw6A,"Надира Нарматова акмак жеткен наадан экенсин, сенин созуно караганда Матраимов кредит алып зорго кутулду дейсин .Уят эмеспи ушул айткандарын , карапайым калк эч нерсени тушунбойт деп ойлойт окшойсун. Эл бапрын коруп билип олтурат.АКМАК.",offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgzHwdFJv-4JxzoUnPl4AaABAg,MzmJyHQlS5Y,Матраимов Райым шешен сс Бут эле элдин акчасын уурдап алыптыр. Ал акчаны жем чачкандай кичинеден продажныйларга чачып коюп журдуда ушуга чейин.,hate,hate,продажн,potentially_hate,CohereForAI/aya-expanse-8b
UgznCXNjDsKal_52Kad4AaABAg,va4UkKaVJ8k,Жабыш керек бул акмактар атайын шарт тузуп беришкен жетекчиси,offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgzADiD_wgKiyCSqJ6h4AaABAg,9SK6boOSZX0,Ылайым Авгандар Бир жумада тажиктердин чумосун чыгарабыз дегени бар ошентсе анан коробуз бул жашо бумеранг бизге сасыган тажиктер.бутубузга жыгылат,hate,hate,чумо,potentially_hate,CohereForAI/aya-expanse-8b
UgwVzA0Tb8sasWjTH6F4AaABAg,HeGfRTka3TQ,Жаш Кыздар тушунугужетелек учурдан пайдаланат как башжаман Адам екенинбилбей тушунбойдуушар болотекен,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwgYHFNmP2TJofNW2l4AaABAg,rcF3WelvY18,Молодец Мунарбек! Ошондой коомго терс корунушторду жоготкула!,non_hate,non_hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugwqc89ZyJSHQGMxGjl4AaABAg,bXQ7pHLuXSc,Эй торт коз журналис жакшы жумуш кылдым деп ойлоп атасынбы бийликтегилерден мактоо алам деп ойлодунбу акмак торт коз,offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
Ugx0a8orMOxza2Bl_ux4AaABAg,GE9a-UY4I7E,Абылгазиев неге алынбады иштен Окмот канча адамды олтуруп омурун алды,offensive,offensive,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgzSNFj4TuehLpsUtr54AaABAg,8W94yWJHw6A,Кыргызстан мафия болуп кеткен экенда,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyVy0IpdSeSYUTImUR4AaABAg,KSVY5SRkfn8,Бийликте жалан эле каракчылар топтолгон,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgzxFuGYJO4Yr0P2N0V4AaABAg,rcF3WelvY18,Бул корунуш отоо чон трагедя чоон проблема окунучтуу коомду бузат булар акмактарды чекелен атса сооп болот булардын ата энелери жокпу Кудай сактай кор😮,non_hate,non_hate,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgxAV5qAUVOj1rFQqjZ4AaABAg,9SK6boOSZX0,Молодец факт менен чыгып иштерине ийгилик. Кыргызстан онугуп тынчтыкта жашасын Алаахым жар болсун,non_hate,non_hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgznUPAhqwHglFdkmXp4AaABAg,9SK6boOSZX0,Шуерда қирғизстон кутлик қилган скори помошни уриб аёл киши ичида булгани учун яна қарсак чопканиучун,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgysM2iF2P0hBWpso_p4AaABAg,KSVY5SRkfn8,Камчы вор булардын тизгинин тартып турчу эледа бекеринен олтурушкон жок,offensive,offensive,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
Ugz2WUkj4CW75ABrDYR4AaABAg,8W94yWJHw6A,"Чыныгы эле чон карупционерлерге тийишпейт , чон Кыргызстанды жеген карупционерлердин бири да отурган жок ,баары жургап журушот, элге калп айтып Элди алдап эле журушот",hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugx0Q6CIkbxBNibnmZ14AaABAg,rcF3WelvY18,"Коомчулукта бул нерсени кантип дарылоого болот? Жабасызбы баарын - ачылат, Штраф саласызбы толойт, Оорууканага жаткызасызбы булар оорулуу эмес, булар баардык жерде бар кантебиз аял кишилерге билим берууну кучойтуп укугун коргоп тандоо бериш керек запрет салып кийимине эле маани бербей ошондо уул баланы эркек кыз баланы аял кылып тарбиялайтго . Буларга уже поздно",non_hate,non_hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugxa7OcfAXGt8RVf2yN4AaABAg,9SK6boOSZX0,Жоопко ким тартат буларды?Же жоопсуз азатыкта жүрө беришеби?,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxJNIVZvVJBbwtSjdp4AaABAg,MzmJyHQlS5Y,"Раим менен чогуу суротко тушкор ырчы блогер , спортсмендер сатквндар акчага сатылган кулдар ,",offensive,offensive,сатылган,potentially_hate,CohereForAI/aya-expanse-8b
UgwueuY7kyVs64OClzN4AaABAg,9SK6boOSZX0,Шох ОЗУ террорист болгон экенго убагында,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugxx1pYC8S5zykl3Fyd4AaABAg,va4UkKaVJ8k,Акыретте өтө жаман ахвалда лгбт ларга каршы түшүндүрүү иштерин жүргүзүү керек Кудай алар менен сүйлөшпөйт түз тозокко кетирет дуал кылалы коомду таза сактап урпактарга өткөрүп берели,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxxdiusJXtHx2FBJ2l4AaABAg,rcF3WelvY18,Ар бир адам өз каалоосу боюнча жашаганга укугу бар. Голубойбу солубойбу өздөрү билет. Главный башкаларга зыяны тийбесе.,non_hate,non_hate,голубой,potentially_hate,CohereForAI/aya-expanse-8b
Ugy0gL9EFGLO5E1tec14AaABAg,KSVY5SRkfn8,Не болуп атат озу,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwDbi9_3Sw_cKYoj1p4AaABAg,GE9a-UY4I7E,Алдабагыла олтурушкерек баткайты,offensive,offensive,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgwNivb3rfExapFzuMF4AaABAg,bXQ7pHLuXSc,Максим бакиев озу иштеп таап анан олтурган жок ар кимди олтуруп уй куруп алган демек бул ак эмес ак жашаган жакшы биронун уй булосун кууратып аталарын олтуруп балдарын сыздаткан да ошол бева калган ыйлар тынч уктатпасын Кудай Кудай,hate,hate,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
Ugyw351mn5x0Reh8ydd4AaABAg,9SK6boOSZX0,Врешь нагла вы начали после прикошение огня утром был договор а вы начили сного сколько раз мы брали и отдали все что бля взяти так что не ври много.,offensive,offensive,бля,potentially_hate,CohereForAI/aya-expanse-8b
UgxVLg6Wh35cRsmGwbx4AaABAg,8W94yWJHw6A,Нарматова сен билбей журосунбу олконун мулкторун вврдап жвруп ьайыган да бизнесмен ьолбосо мейкинбек сен доолур экенсинер,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugwb899HXq7rj2anTKd4AaABAg,9SK6boOSZX0,Генерал Шохту олтуруу планын тузуш керек,offensive,offensive,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgyRKmMlpdhGstt9-L94AaABAg,8W94yWJHw6A,Акмак жеп жутарлар,offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgwmrnlkkQqNheZ70SF4AaABAg,KSVY5SRkfn8,Көрөсүң кресло бийлик талаш явный эле болгон экен .аны Садырдын стукачтары билип калган дагы Ташиев Германиядан келип эле президенттике бир болсо отурмак Садырдын Ташиев жемкор деп алтындар кайда качкан катып жатасың деп аны переворот м-н түрмөгө тыкмак бул жер структура Садыр президент ошону приказы м-н күч структуралары м-н колго алып баарын кишендеп түрмөгө тыкты бирок эмнегедир репортаж теле сынакка чыгып бербей кетип калды себеби уялып калды окшойт УКМК бандасы бийликти алмак болгондугун 75чалдары менен бийликке алып күчтөрү жетпей калды ошого комментарий же сөзү жок кетип калды.,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugx8cR19Zmjaqrl23B14AaABAg,rcF3WelvY18,Штарав Салгыла Айовсуз Булжерде Бары Ахретини Ойлобогондор Окшойт Буларды Энелер Торогонбу Же Эшектен Пайда Болгонбу Тоба Тоба,hate,hate,эшек,potentially_hate,CohereForAI/aya-expanse-8b
Ugw_iAHLN4TubyEldj54AaABAg,va4UkKaVJ8k,Тунку клуб деп аты эле айтып. турат.. жабылсын!!! Жаштар туну менен темселеп ушундай жерлерде журушуп.. кундуз окуудан жок де иштеген иши жок..ата эненин мойнунда олтурушат жук болуп!!!,hate,hate,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgwIXDgCsiqiNa4s_L54AaABAg,9SK6boOSZX0,Вы пси ответите за все ваши преступление !!!,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyiFSvW0clmd_-aYv54AaABAg,bXQ7pHLuXSc,Максим оз мээнети м.н жашайт.Максимде баш бар,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyeuGMH-t62yLVPHbN4AaABAg,MzmJyHQlS5Y,Раим бирок жакшы адам,non_hate,non_hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxThGHtZLSmkGnQVUl4AaABAg,9SK6boOSZX0,Котко окшоп карап олтурдугу атбагыла деп буйрук берип туштон кийин Шох барекендеп хуйду жейсинер,offensive,offensive,хуй,potentially_hate,CohereForAI/aya-expanse-8b
Ugz6FUz4mLl3EgDs4-h4AaABAg,rcF3WelvY18,"Ушул жалаптардын артынан жер тербеп, суу каптап кыямат блт, дуйно бузулганда",offensive,offensive,жалап,potentially_hate,CohereForAI/aya-expanse-8b
Ugz67JGaTea450AD0Q94AaABAg,8W94yWJHw6A,Нарматова акмак аял кен,hate,hate,акмак,potentially_hate,CohereForAI/aya-expanse-8b
Ugy6EBLsi8ezTw7X3Dl4AaABAg,8W94yWJHw6A,МАТРАИМОВДУ карапайым эл колдойт элге коп жардам берген чыккыла элге эшектин тезегин тердитип тентиткендер ким эле эмне кылып алды 2 мил ким кусту кетпеди элди атпады жэрди сатпады,hate,hate,эшек,potentially_hate,CohereForAI/aya-expanse-8b
Ugw-yEdNBVPv9aS9_aF4AaABAg,HeGfRTka3TQ,"Намаз окуп, сулулугунарды жашырып мусульманча кийинип журсонор баары жакшы болот. корунгон менен суйлошуп учурашып журуп олтуруп жахилят дооруна кайра кайтып баратабыз. Ачык чачык журуп олтуруп Эркектер учун бир кумарын кандырчуу бир буюм катары болуп калдынар. Урушуп берсенер же ата эненерге айтсанар жакшы болмок. Озунор эркектерди кызыктырып шайтандын ургаачысы болуп турсанар. Ошондой эркектердин мучолорун кесип же эч нерсеге жарабагыс кылып коюш керек.",hate,hate,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgynlIQOL7GuBnxHxY94AaABAg,9SK6boOSZX0,Тажиктер бирди коралбай жатат,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgzG0J_OA0C6F3IuqTV4AaABAg,9SK6boOSZX0,Генерал шох менен не ишинер бар .ал деле кызматкерда .ошон учун биздин жетекчилер тормоз колунан эч нерсе келбейт,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugwix_jg9TbpQeqtb_94AaABAg,8W94yWJHw6A,24саат тынбай иштеген аял баспай калбайбы!?Дооругон акмак акча Раимдин турткону учун депутат болгон да....,offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
Ugw54CvoTn8rjOE3sfl4AaABAg,GE9a-UY4I7E,ТИГИ БУ ДЕП СУЙЛООРДУН АЛДЫ ЖАЛТАКТАБАЙ ТУРУП АЙТЫШ КЕРЕК.ПУТИН ЧЫГАРЫП КЕТТИ ДЕП.АЛМАС АТАМБАЕВ ПУТИНГЕ ЖАГАЛДАНАМ ДЕП ОШОНУ КОРМОК.БИР ЭКИ АЙТКАНДЫ УКПАЙ.КОЗУН МАЙ БАСЫП.,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyKivzQdDBX_H48u1x4AaABAg,9SK6boOSZX0,Бизде калкыбыздын жармы эле генералго,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugx8YL8By_LyEQWgP5h4AaABAg,GE9a-UY4I7E,"Силер эшексинерда Батукаев канча адамды өлтүрүп, канча адамды калека кылган",hate,hate,эшек|өлтүрү,potentially_hate,CohereForAI/aya-expanse-8b
UgwLn7Cz4s0CqLkYuLZ4AaABAg,GE9a-UY4I7E,"Олуп калса болмок, аны олтурбой эмне кылат эленер, ал канчалаган кыргыздарды олтургон кыздарды зордуктаган, бул пидорду жолдон олтуруш керек болчу, кана жанагы кыйын болгон Камчынын балдары",hate,hate,олтуру|пидор,potentially_hate,CohereForAI/aya-expanse-8b
Ugyn1aXYXoUo_75K5Gl4AaABAg,9SK6boOSZX0,таджики но мне братья они персы враги мы турк язычный народ,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxF6U8uVrqYqGrRttB4AaABAg,9SK6boOSZX0,бети жок азабынарды Кудай берсин канча жаш жигиттер кайтыш болду тажикти коргум келбейт.,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxSeRYrSjZYdK9bXtl4AaABAg,8W94yWJHw6A,Колдонойлу деген соз жок Кыргызда !,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxT3wTx1ABmo9vynex4AaABAg,bXQ7pHLuXSc,Олтуруп кетиш керек суканы уйбулосу менен😈,offensive,offensive,олтуру|сука,potentially_hate,CohereForAI/aya-expanse-8b
UgyfSDPD91QIJmUWObJ4AaABAg,9SK6boOSZX0,БУЛАРДЫН ДОЛЖ. ТА ИШТЕГЕНДЕРИНИН ДА ИШЕНИЧ КАЛБАДЫ ЭШЕКТЕР.,hate,hate,эшек,potentially_hate,CohereForAI/aya-expanse-8b
UgxT0g3upmbs9hT5rsx4AaABAg,iM4S3PDEGDg,Акмактар жон отурбайсынарбы,offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgzxpGPuDgiEZXhOivF4AaABAg,GE9a-UY4I7E,"Чартердик рейс менен учуп жатпайбы?! Атамбаев ошондой нерсени билбей калмак беле?! Анын устуно, неге ким бошоткону иликтенбеди!!?? Эч кимди иштен албаганы... Премьер министр да, билген Атамбаев да соттолуш кк",hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwXUlPxedBgqDfhhKt4AaABAg,GE9a-UY4I7E,Зарылбек сенин нен кетти олгондой куусунда сени камаш керек болчу,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwjU1VhFZ0u8HYJ1lt4AaABAg,GE9a-UY4I7E,Эшектер Куловтун кылганы,hate,hate,эшек,potentially_hate,CohereForAI/aya-expanse-8b
UgwNUa8AMS8Htfl9o9F4AaABAg,8W94yWJHw6A,Надира сен биринчи кетишин керек оз оордун менен,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyJ1DutCPct5Kgw0Pd4AaABAg,MzmJyHQlS5Y,Мен Бабановду эч канчан колдобойм...,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugwaxd2bUg3XW_L2PYR4AaABAg,rcF3WelvY18,ЛГБТ БИРО ТОЛО ЖОГОЛСУН КЫРГЫЗ ЖЕРИН БУЛГАБАЙ И УЛУТТУ БУЗУП АРАМ ИШКЕ ТУРТКОН БАТЫШ БУЗКУЛАРЫ БИРО ТОЛО ЖОГОЛСУН ❗❗⚠️⚠️,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgymD_gp_XwiDAt_tD14AaABAg,9SK6boOSZX0,Кудай коруп турат дагы жер титиреп кочку басат тажиктерди озу тийишкенди жон койбош керек,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyU1RqWRBb0JS3BChd4AaABAg,HeGfRTka3TQ,Бул мыйзамынар дагы кобунордун башынарды жейт себеби ушинтип уят болгондон горо олтуруп салсан он болот деши мумкун андан горо кайсар болуп кыска кийбей озунорду ондогула менин алтын эжелерим карындаштарым .,offensive,offensive,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgxMj3GQS0CTZiPhHCp4AaABAg,bXQ7pHLuXSc,Продажный заказной журналистер..Бакиевтер ээчтеке апкетпеген...бул жердегиле тоноп болушунча Бакиевтерге тонкопкоюшкан акмактан.,non_hate,non_hate,акмак|продажн,potentially_hate,CohereForAI/aya-expanse-8b
UgxNGVfDWlD4ISSSVz54AaABAg,MzmJyHQlS5Y,ЭДИЛ БАЙСАЛОВ ТУУРА АЙТТЫ,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugwc42MI9ghPL7aU4wN4AaABAg,rcF3WelvY18,эненск бишкекте эркек балдар жокпу олорду олтуруп комуп салганы,hate,hate,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
Ugh532ZrMbcMv3gCoAEC,GE9a-UY4I7E,бляааа вор деп суйлобо мамлекеттик адам,offensive,offensive,бля,potentially_hate,CohereForAI/aya-expanse-8b
UgxDm2GEhkyFgEZAbQx4AaABAg,9SK6boOSZX0,"Баарын соттош керек же болбосо бирден таап олтуруш керек. Каргышка калган наркоман иттер, уй було бала чаканар менен кошо каргыш тийсин силерге. Уурдаган нерсенер тешип чыксын буйрубасын сукалар",hate,hate,олтуру|сука,potentially_hate,CohereForAI/aya-expanse-8b
Ugwn0kiIeZKPQ3vu3bZ4AaABAg,rcF3WelvY18,Бүт байдын балдары соксон уят акмактар бири да аскерге барган эмес гарантия кедейлер служба кылабыз,non_hate,non_hate,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgzhkH1LfHe7kXvt8od4AaABAg,rcF3WelvY18,Ошол жердегилердин баарын автомат менен кырып атып салса сооп эле болот Алланын каары тушкон жай экен,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxPfPu28-vwGw7vme14AaABAg,va4UkKaVJ8k,Ушундай Акмактарды жок кылыш керек Кыргызстандан Атыш крк атыш Булар Кыргызды жок кылыш үчүн Батыштын жана Еврейлердин Шакалдары..........,hate,hate,акмак,potentially_hate,CohereForAI/aya-expanse-8b
Ugw5eX_WyHNr4JW8sZ94AaABAg,bXQ7pHLuXSc,Максим Бакиевдин Кыргыз жергесиндеги гүлдөп-өсүп жаткан бизнестерин текшерилсе жакшы болмок.Бөлөк бирөөнүр атына катталган байлыктары дагы эле көп деп ойлойм.,non_hate,non_hate,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugz2sm69709UDhN3xK14AaABAg,KSVY5SRkfn8,Жел болбосо чоптун башы кыймылдабайт,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwbbVanMIsA5AXrCjp4AaABAg,MzmJyHQlS5Y,Бирок чынында ошол кезде эн коп добушту Бутун Кыргызстан алган. Аны басып акыркы кылып илип коюушкан. А бугун кыйкырып жаткандар ошол кезде Мекенчилди колдогон эмессинер. Мекеним Кыргызстан менен Биримдикте чуркап жургонсунор.,hate,hate,чурка,potentially_hate,CohereForAI/aya-expanse-8b
